Player,Team,Pos,G,MP,GS,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Grace Berger,TOT,G,17,374,11,21,79,0.266,1,20,0.05,20,59,0.339,10,15,0.667,9,48,57,51,13,7,19,36,53
Chloe Bibby,TOT,F,14,154,0,21,55,0.382,17,42,0.405,4,13,0.308,8,9,0.889,5,20,25,7,8,1,7,13,67
DeWanna Bonner,TOT,G-F,31,735,4,102,248,0.411,37,113,0.327,65,135,0.481,75,86,0.872,27,102,129,36,27,9,26,41,316
DiJonai Carrington,TOT,G-F,31,680,14,107,277,0.386,23,72,0.319,84,205,0.41,66,82,0.805,48,77,125,48,34,13,59,78,303
Kaila Charles,TOT,G-F,32,536,9,65,153,0.425,23,62,0.371,42,91,0.462,35,44,0.795,43,82,125,29,24,5,31,60,188
Alysha Clark,TOT,F,40,779,13,55,149,0.369,24,88,0.273,31,61,0.508,17,22,0.773,15,98,113,49,26,3,22,75,151
Marquesha Davis,TOT,G,11,52,0,2,10,0.2,0,4,0.0,2,6,0.333,6,7,0.857,3,4,7,1,0,2,6,3,10
Aaliyah Edwards,TOT,F,33,477,0,65,138,0.471,0,8,0.0,65,130,0.5,53,82,0.646,43,73,116,19,15,14,40,52,183
Haley Jones,TOT,F-G,26,541,14,79,172,0.459,12,36,0.333,67,136,0.493,22,32,0.688,18,72,90,56,18,19,39,58,192
Liatu King,TOT,F,14,136,0,13,27,0.481,1,6,0.167,12,21,0.571,11,15,0.733,12,17,29,4,2,0,11,14,38
Sika Koné,TOT,F,17,81,0,7,19,0.368,1,4,0.25,6,15,0.4,12,13,0.923,3,15,18,5,0,0,6,12,27
Diamond Miller,TOT,F,38,405,1,52,125,0.416,16,45,0.356,36,80,0.45,33,44,0.75,10,34,44,29,11,6,32,60,153
Tiffany Mitchell,TOT,G,39,510,3,40,102,0.392,11,30,0.367,29,72,0.403,35,47,0.745,11,31,42,12,14,8,24,52,126
Shey Peddy,TOT,G,13,229,5,21,47,0.447,12,31,0.387,9,16,0.563,7,9,0.778,7,16,23,28,3,0,11,20,61
Alissa Pili,TOT,F,17,92,0,10,23,0.435,4,12,0.333,6,11,0.545,12,14,0.857,4,14,18,3,2,0,8,13,36
Aerial Powers,TOT,G,8,120,0,19,50,0.38,3,14,0.214,16,36,0.444,10,15,0.667,9,23,32,16,6,0,8,12,51
Jacy Sheldon,TOT,G,30,708,17,83,178,0.466,36,91,0.396,47,87,0.54,22,25,0.88,22,35,57,57,27,6,31,72,224
Jaylyn Sherrod,TOT,G,24,127,0,7,26,0.269,3,13,0.231,4,13,0.308,9,13,0.692,2,11,13,12,10,0,12,19,26
Odyssey Sims,TOT,G,22,615,19,80,195,0.41,21,63,0.333,59,132,0.447,40,51,0.784,8,46,54,81,15,1,31,46,221
NaLyssa Smith,TOT,F,43,910,39,124,250,0.496,7,24,0.292,117,226,0.518,64,104,0.615,72,152,224,30,23,29,50,127,319
Brittney Sykes,TOT,G,38,1157,37,171,448,0.382,31,100,0.31,140,348,0.402,163,211,0.773,18,102,120,152,47,14,97,97,536
Stephanie Talbot,TOT,F,36,528,10,38,101,0.376,16,55,0.291,22,46,0.478,18,28,0.643,26,75,101,66,19,6,38,41,110
Sevgi Uzun,TOT,G,22,374,2,25,80,0.313,5,27,0.185,20,53,0.377,9,14,0.643,1,27,28,51,11,3,39,34,64
Julie Vanloo,TOT,G,32,412,2,32,101,0.317,25,84,0.298,7,17,0.412,8,10,0.8,4,25,29,64,15,0,46,41,97
Li Yueru,TOT,C,31,519,12,62,153,0.405,20,55,0.364,42,98,0.429,43,50,0.86,52,89,141,29,9,9,30,57,187
Monique Akoa Makani,PHO,G,38,831,37,107,253,0.423,46,116,0.397,61,137,0.445,36,38,0.947,23,60,83,103,30,3,51,93,296
Julie Allemand,LAS,G,32,900,25,59,146,0.404,24,95,0.253,35,51,0.686,13,17,0.765,11,112,123,162,39,0,52,52,155
Lindsay Allen,CON,G,28,368,6,23,55,0.418,3,15,0.2,20,40,0.5,14,17,0.824,8,15,23,54,10,6,29,31,63
Rebecca Allen,CHI,F-G,41,757,15,76,220,0.345,39,120,0.325,37,100,0.37,19,31,0.613,15,91,106,51,20,21,37,58,210
Laeticia Amihere,GSV,F,28,380,0,51,113,0.451,2,20,0.1,49,93,0.527,49,63,0.778,35,89,124,27,17,13,30,36,153
Yvonne Anderson,MIN,G,1,12,0,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,0,1,1,2,2,0,0,3,0
Ariel Atkins,CHI,G,34,971,34,162,365,0.444,43,119,0.361,119,246,0.484,80,93,0.86,23,91,114,122,53,24,84,102,447
Shakira Austin,WAS,F-C,36,821,28,181,388,0.466,2,14,0.143,179,374,0.479,93,139,0.669,54,176,230,63,41,41,87,76,457
Marième Badiane,MIN,C,3,11,0,0,3,0.0,0,1,0.0,0,2,0.0,0,0,,1,0,1,0,2,0,2,6,0
Rachel Banham,CHI,G,41,982,30,120,308,0.39,82,221,0.371,38,87,0.437,45,50,0.9,6,58,64,104,23,10,61,79,367
Sarah Ashlee Barker,LAS,G,31,420,7,28,88,0.318,17,53,0.321,11,35,0.314,17,22,0.773,9,50,59,25,10,4,33,42,90
Kierstan Bell,LVA,F,34,414,15,52,152,0.342,30,101,0.297,22,51,0.431,12,15,0.8,20,41,61,23,13,11,14,26,146
Monique Billings,GSV,F,23,416,8,66,140,0.471,8,32,0.25,58,108,0.537,34,51,0.667,35,74,109,12,14,19,20,39,174
Aliyah Boston,IND,C-F,42,1266,42,260,482,0.539,6,29,0.207,254,453,0.561,110,145,0.759,102,240,342,155,49,41,80,130,636
Crystal Bradford,LVA,F,4,24,0,2,6,0.333,0,2,0.0,2,4,0.5,0,0,,2,3,5,1,2,0,1,3,4
Cameron Brink,LAS,F,16,210,0,29,67,0.433,10,28,0.357,19,39,0.487,16,19,0.842,24,41,65,7,8,23,24,44,84
Jaelyn Brown,CON,G-F,10,131,0,14,37,0.378,8,18,0.444,6,19,0.316,1,2,0.5,4,8,12,1,5,2,5,17,37
Kalani Brown,PHO,C,27,332,1,53,87,0.609,2,7,0.286,51,80,0.638,21,27,0.778,31,76,107,16,7,16,21,41,129
Lexie Brown,SEA,G,24,227,0,17,48,0.354,10,37,0.27,7,11,0.636,7,10,0.7,2,15,17,23,9,1,6,20,51
Paige Bueckers,DAL,G,34,1138,34,243,517,0.47,37,115,0.322,206,402,0.512,127,143,0.888,22,105,127,180,56,15,70,79,650
Kennedy Burke,NYL,G-F,34,745,9,98,211,0.464,45,108,0.417,53,103,0.515,41,54,0.759,20,57,77,44,28,16,30,45,282
Rae Burrell,LAS,G-F,25,436,0,62,143,0.434,17,53,0.321,45,90,0.5,27,39,0.692,14,42,56,28,12,4,20,32,168
Veronica Burton,GSV,G,41,1195,41,137,350,0.391,60,167,0.359,77,183,0.421,155,174,0.891,46,135,181,241,44,26,85,94,489
Maya Caldwell,ATL,G,39,708,16,78,183,0.426,37,103,0.359,41,80,0.513,14,18,0.778,32,83,115,71,34,7,38,58,207
