"Player","Pos","WinScore","Efficiency","NBAPER","WNBAPER"
"Rachel Banham","G",1.068,4.378,7.762,8.759
"Morgan Bertsch","F",-1.227,0.273,-2.749,-5.612
"Monique Billings","F",4.797,9.865,11.341,12.086
"Crystal Dangerfield","G",0.212,2.758,5.156,6.762
"Queen Egbo","F-C",1.312,2.25,18.434,19.852
"Myisha Hines-Allen","F",5.138,10.925,15.188,16.546
"Moriah Jefferson","G",-0.022,1.565,4.823,3.375
"Sika Koné","F",1.722,4.185,14.114,14.84
"Marina Mabrey","G",4.638,13.475,12.26,15.885
"Odyssey Sims","G",4.312,13.167,14.719,18.881
"Sug Sutton","G",0.345,2.759,4.686,4.884
"Celeste Taylor","G",0.727,2.636,5.274,5.539
"Lindsay Allen","G",2.788,8.5,10.071,11.328
"Rebecca Allen","F-G",4.111,8.278,9.476,11.399
"Laeticia Amihere","F",0.312,0.75,3.202,4.283
"Ariel Atkins","G",4.175,13.2,13.75,16.911
"Amy Atwell","F",0.583,2.167,7.364,8.227
"Shakira Austin","C-F",4.75,11.083,15.601,18.717
"Kierstan Bell","F",0.833,2.667,9.331,10.175
"Grace Berger","G",0.591,2.545,6.261,4.75
"Caitlin Bickle","F",-0.438,-0.375,-7.689,-9.609
"DeWanna Bonner","G-F",6.65,14.675,13.839,17.704
"Aliyah Boston","F-C",9.812,18.95,17.965,21.059
"Cameron Brink","F",3.967,8.933,11.455,10.003
"Jaelyn Brown","G-F",1.036,2.714,6.868,6.746
"Jakia Brown-Turner","G",1.0,1.5,14.064,12.135
"Kalani Brown","C",2.91,6.564,14.516,16.101
"Lexie Brown","G",1.5,7.062,7.856,10.093
"Kennedy Burke","G-F",1.355,3.605,8.707,10.529
"Rae Burrell","G-F",1.73,5.297,10.903,10.064
"Veronica Burton","G",2.097,4.677,11.353,10.433
"Maya Caldwell","G",1.46,4.76,9.172,11.453
"Jordin Canada","G",4.55,13.1,12.198,12.861
"Emma Cannon","F",0.5,1.0,13.558,21.539
"Kamilla Cardoso","C",7.828,14.062,15.423,16.405
"Bridget Carleton","F",5.782,11.282,11.613,13.048
"DiJonai Carrington","G-F",4.115,11.564,11.796,13.688
"Chennedy Carter","G",3.773,14.909,17.323,22.238
"Jessika Carter","C",-1.0,-1.5,-20.95,-19.661
"Tina Charles","C",8.974,18.103,16.717,21.403
"Layshia Clarendon","G",1.81,6.048,9.093,7.158
"Alysha Clark","F",3.6,8.025,7.809,6.654
"Caitlin Clark","G",7.062,20.2,15.485,18.792
"Natasha Cloud","G",4.882,14.316,11.886,13.415
"Nia Coffey","F",1.263,3.45,6.362,7.122
"Napheesa Collier","F",12.735,24.294,21.939,27.453
"Sydney Colson","G",0.919,2.677,10.477,11.16
"Zia Cooke","G",-0.638,1.414,4.279,6.507
"Kahleah Copper","G-F",3.257,15.081,13.494,17.176
"Lorela Cubaj","F-C",0.911,2.286,6.472,3.312
"Sophie Cunningham","G",5.462,10.675,10.779,10.643
"Damiris Dantas","C-F",2.175,4.65,11.583,13.911
"Kaela Davis","F",-0.5,1.0,1.999,1.464
"Marquesha Davis","G",0.25,1.05,7.462,6.243
"Diamond DeShields","G",0.016,3.25,5.706,6.225
"Skylar Diggins","G",4.338,15.325,15.797,18.886
"Liz Dixon","F",1.912,3.118,9.355,9.276
"Ivana Dojkić","G",0.538,2.654,8.108,7.551
"Stefanie Dolson","C",5.615,11.872,11.73,12.188
"Aaliyah Edwards","F",4.882,9.912,12.067,12.287
"Emily Engstler","F",5.25,8.969,19.299,21.956
"Olivia Époupa","G",1.265,2.824,9.849,8.077
"Dana Evans","G",1.115,5.897,9.365,11.702
"Temi Fagbenle","C",3.841,8.455,11.348,10.174
"Dyaisha Fair","G",-1.0,0.0,-2.26,1.494
