Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Grace Berger,G,1.533,5.4,4.98,3.916
Chloe Bibby,F,2.214,4.643,12.548,14.458
DeWanna Bonner,G-F,4.931,10.276,13.474,15.952
DiJonai Carrington,G-F,2.583,8.833,11.516,13.003
Kaila Charles,G-F,3.55,7.3,12.525,12.569
Alysha Clark,F,2.423,5.359,6.139,4.756
Marquesha Davis,G,-0.227,0.273,1.147,0.331
Aaliyah Edwards,F,2.5,5.71,12.155,12.547
Haley Jones,F-G,2.64,7.48,9.708,10.98
Liatu King,F,1.321,3.143,7.941,6.781
Sika Koné,F,0.607,1.929,5.709,2.549
Diamond Miller,F,0.514,3.194,7.764,5.767
Tiffany Mitchell,G,0.446,2.514,5.332,3.745
Shey Peddy,G,2.545,6.545,9.826,10.01
Alissa Pili,F,0.667,1.867,6.727,5.678
Aerial Powers,G,3.333,7.0,13.641,16.034
Jacy Sheldon,G,2.733,7.867,10.197,10.502
Jaylyn Sherrod,G,0.159,1.227,4.591,-0.077
Odyssey Sims,G,2.85,10.1,10.147,11.73
NaLyssa Smith,F,4.19,8.786,11.356,10.653
Brittney Sykes,G,2.444,11.694,11.574,13.267
Stephanie Talbot,F,2.643,5.286,8.61,8.539
Sevgi Uzun,G,-0.65,2.45,1.167,0.198
Julie Vanloo,G,-0.067,2.833,3.744,3.202
Li Yueru,C,3.855,7.677,12.476,12.51
Monique Akoa Makani,G,2.333,8.194,10.402,10.89
Julie Allemand,G,5.362,10.655,9.379,9.898
Lindsay Allen,G,0.404,2.615,5.228,4.27
Rebecca Allen,F-G,1.641,4.692,6.617,7.903
Laeticia Amihere,F,4.352,7.778,16.187,17.303
Yvonne Anderson,G,-0.5,2.0,0.872,-7.664
Ariel Atkins,G,4.391,13.25,14.222,16.436
Shakira Austin,C-F,5.3,12.343,16.04,20.663
Marième Badiane,C,-1.667,-0.667,-15.502,-35.837
Rachel Banham,G,1.897,7.487,9.21,10.74
Sarah Ashlee Barker,G,0.571,2.821,3.153,1.475
Kierstan Bell,F,1.409,3.606,9.597,12.579
Monique Billings,F,4.881,8.762,15.343,17.631
Aliyah Boston,F-C,10.388,20.45,20.283,23.658
Crystal Bradford,F,0.75,1.75,6.692,5.628
Cameron Brink,F,3.462,6.615,15.076,13.832
Jaelyn Brown,G-F,0.4,2.6,5.261,4.478
Kalani Brown,C,4.333,7.333,16.713,17.582
Lexie Brown,G,0.833,2.5,7.347,6.695
Paige Bueckers,G,6.812,19.094,18.393,23.063
Kennedy Burke,G-F,3.703,8.062,12.651,15.169
Rae Burrell,G-F,2.159,6.091,10.628,12.815
Veronica Burton,G,6.897,15.615,16.63,17.55
Maya Caldwell,G,3.028,6.5,10.145,11.029
Jordin Canada,G,5.022,13.565,14.029,17.076
Emma Cannon,F,1.825,4.65,11.972,10.066
Kamilla Cardoso,C,7.814,16.114,16.99,20.144
Bridget Carleton,F,4.449,8.795,8.923,9.545
Tina Charles,C,5.079,14.395,15.392,19.705
Kaitlyn Chen,G,0.432,2.273,4.642,5.029
Sonia Citron,G,6.122,14.659,14.414,17.154
Caitlin Clark,G,4.346,16.615,13.516,17.381
Natasha Cloud,G,5.081,13.351,12.371,13.057
Nia Coffey,F,2.321,4.744,11.895,12.479
Napheesa Collier,F,12.948,25.862,26.595,32.825
Sydney Colson,G,0.417,2.833,5.132,4.782
Zia Cooke,G,-0.346,1.692,4.721,5.153
Kahleah Copper,G-F,2.935,11.957,13.253,16.397
Sophie Cunningham,G,4.833,9.8,10.984,11.124
Damiris Dantas,C-F,0.485,3.353,6.298,6.509
Kariata Diaby,C,0.346,2.077,4.862,-1.069
Skylar Diggins,G,4.625,15.0,16.043,19.252
Stefanie Dolson,C,1.938,5.175,7.928,5.696
Emily Engstler,F,3.054,5.568,12.288,12.937
Dana Evans,G,0.85,5.175,9.189,11.628
Temi Fagbenle,C,4.382,9.735,11.101,10.988
Sania Feagin,F,-0.833,-0.083,-2.617,-3.669
