Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Isobel Borlase,G,1.173,4.346,9.597,11.038
Jordin Canada,G,7.135,17.231,16.478,17.859
Allisha Gray,G,5.058,15.346,15.936,18.98
Naz Hillmon,F,4.7,10.32,10.027,11.208
Rhyne Howard,G,7.44,17.08,16.824,20.033
Brionna Jones,F,8.0,13.5,24.126,20.821
Sika Koné,F,0.146,1.583,5.889,2.901
Indya Nivar,G,0.375,0.95,5.72,0.959
Aaliyah Nye,G-F,-0.077,0.077,2.31,5.503
Amy Okonkwo,F,-0.5,0.0,-25.77,-73.541
Madina Okot,C,3.654,7.423,20.884,23.184
Te-Hina PaoPao,G,0.542,3.333,6.872,7.501
Angel Reese,F,9.2,18.72,17.891,19.339
Jaylyn Sherrod,G,0.25,2.5,8.923,4.423
