Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Rebecca Allen,F-G,2.34,6.08,7.885,9.539
Ariel Atkins,G,3.952,12.905,13.785,15.71
Rachel Banham,G,1.76,7.16,9.751,11.132
Kamilla Cardoso,C,6.524,14.095,15.771,18.06
Moriah Jefferson,G,1.0,2.8,7.986,8.252
Kia Nurse,G,1.26,5.48,5.931,6.669
Michaela Onyenwere,F,0.674,4.043,6.063,4.757
Angel Reese,F,10.818,20.318,16.225,17.752
Courtney Vandersloot,G,4.357,12.571,13.135,16.36
Hailey Van Lith,G,0.024,3.0,5.64,7.863
Maddy Westbeld,F,0.692,2.538,5.842,5.419
Elizabeth Williams,C-F,3.78,8.48,13.49,17.24
