Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Lindsay Allen,G,0.25,2.542,4.734,3.57
Jaelyn Brown,G-F,0.4,2.6,5.261,4.478
Tina Charles,C,4.676,13.882,14.84,19.112
Kariata Diaby,C,0.346,2.077,4.862,-1.069
Bria Hartley,G,0.843,6.914,7.952,7.936
Leïla Lacan,G,4.0,11.667,12.999,13.437
Marina Mabrey,G,1.75,10.962,8.516,11.505
Rayah Marshall,C-F,1.05,2.2,7.084,7.536
Aneesah Morrow,F,4.406,8.688,12.784,14.081
Olivia Nelson-Ododa,C,5.794,10.735,15.316,16.025
Robyn Parks,F,0.75,1.667,1.313,-2.613
Haley Peters,F-G,0.907,3.0,4.307,1.748
Saniya Rivers,G,3.894,9.212,11.959,14.655
Mamignan Touré,G,-0.667,0.556,0.061,-3.765
