Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Paige Bueckers,G,6.2,18.1,16.816,20.967
DiJonai Carrington,G-F,1.912,8.882,9.749,11.485
Kaila Charles,G-F,3.088,6.647,11.183,10.567
Luisa Geiselsoder,C,5.467,9.933,11.916,13.165
Tyasha Harris,G,2.6,6.0,12.0,13.577
Myisha Hines-Allen,F,4.326,9.652,10.156,9.672
Aziaha James,G,2.682,7.591,11.965,15.053
Teaira McCowan,C,4.656,7.875,18.365,20.175
Arike Ogunbowale,G,2.0,12.087,11.079,13.604
JJ Quinerly,G,1.812,7.083,13.234,13.539
Maddy Siegrist,F,4.227,9.091,12.543,15.701
