Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Laeticia Amihere,F,3.25,5.5,16.605,16.792
Veronica Burton,G,4.556,13.667,14.911,15.418
Kaila Charles,G-F,3.417,7.444,9.284,8.804
Kaitlyn Chen,G,2.028,6.0,12.628,15.232
Nadia Fingall,F,2.0,3.0,29.712,38.826
Tiffany Hayes,G,1.688,6.562,13.214,13.087
Justė Jocytė,G-F,-0.143,1.857,5.574,8.874
Ndjakalenga Mwenentanda,G,0.1,0.4,1.55,-0.786
Ashten Prechtel,F,2.0,4.0,30.108,45.569
Janelle Salaün,F,4.417,11.056,14.497,16.461
Miela Sowah,G,-1.25,-1.0,-14.313,-19.636
Kiah Stokes,C,5.639,7.889,10.413,9.328
Kayla Thornton,F,5.028,9.889,10.868,11.513
Gabby Williams,F,5.333,13.778,17.351,23.196
Cecilia Zandalasini,F,1.929,7.071,11.934,15.285
