Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Monique Billings,F,4.958,8.667,12.778,11.803
Aliyah Boston,C-F,9.25,19.417,21.479,24.175
Caitlin Clark,G,5.333,19.333,17.218,19.968
Sophie Cunningham,G,3.917,9.333,12.295,12.701
Damiris Dantas,C-F,0.167,2.667,5.332,-0.02
Tyasha Harris,G,0.4,2.5,6.082,7.729
Myisha Hines-Allen,F,2.923,7.077,8.782,6.545
Lexie Hull,G,3.462,7.385,8.581,6.393
Raven Johnson,G,1.385,4.692,8.827,7.883
Kelsey Mitchell,G,2.423,13.769,14.79,19.099
Makayla Timpson,F-C,3.692,6.077,13.42,12.387
Shatori Walker-Kimbrough,G,-1.0,-1.0,-11.246,-10.408
