Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Ariel Atkins,G,2.227,8.818,8.876,8.51
Cameron Brink,F,3.962,9.615,15.764,13.15
Rae Burrell,G-F,2.269,8.0,9.556,12.154
Emma Cannon,F,-0.5,0.5,-5.623,-21.954
Sania Feagin,F,-0.5,0.0,-5.587,-20.081
Chance Gray,G,0.292,1.917,3.526,2.412
Dearica Hamby,F,9.423,18.308,18.789,20.169
Ta'Niya Latson,G,0.0,1.0,5.19,1.514
Kate Martin,G,0.25,1.875,7.941,7.148
Nneka Ogwumike,F,12.583,21.417,19.894,24.289
Jihyun Park,G,-0.188,0.875,1.676,-7.862
Kelsey Plum,G,8.9,25.1,23.785,28.552
Erica Wheeler,G,0.654,7.692,6.944,7.032
