Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Kierstan Bell,F,0.526,2.053,4.426,4.898
Chennedy Carter,G,4.0,11.077,21.971,25.053
Dana Evans,G,-0.6,2.2,1.214,1.303
Chelsea Gray,G,6.196,16.107,13.872,16.356
Jewell Loyd,G,2.481,7.5,7.992,8.103
Cheyenne Parker-Tyus,F,2.913,5.826,17.357,16.931
Justine Pissott,G-F,1.875,5.0,12.626,12.517
NaLyssa Smith,F,7.426,14.0,17.96,19.208
Stephanie Talbot,F,2.679,5.464,8.151,7.53
Brianna Turner,F-C,2.28,3.6,8.075,6.985
A'ja Wilson,C,15.615,29.192,30.848,38.523
Mai Yamamoto,G,-1.0,-1.0,-11.18,-9.431
Jackie Young,G,8.232,20.25,19.342,23.751
