Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Maya Caldwell,G,2.286,5.429,12.477,13.098
Emma Čechová,C,2.667,8.0,12.429,9.319
Nia Coffey,F,6.643,12.0,11.681,11.963
Antonia Delaere,G,0.643,2.714,6.032,4.788
Eliška Hamzová,G,1.167,2.333,10.791,4.129
Emese Hof,C,-0.333,2.0,0.906,-5.515
Natasha Howard,F,9.071,20.571,21.246,25.465
Liatu King,F,4.167,5.333,12.783,12.964
Anastasiia Kosu,F,1.25,3.5,13.855,12.992
Kayla McBride,G,6.857,14.857,14.579,17.276
Olivia Miles,G,6.643,17.857,16.66,19.016
Courtney Williams,G,8.071,18.429,17.826,24.827
