Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Rebecca Allen,F-G,-0.7,1.6,0.01,-4.531
Pauline Astier,G,6.111,14.667,16.181,16.584
Raquel Carrera Quintana,C,0.0,0.5,4.313,-9.544
Leonie Fiebich,F,-1.0,3.0,2.15,1.968
Alex Fowler,F,-2.75,2.5,0.405,-8.508
Rebekah Gardner,G,3.722,8.556,13.363,14.644
Aubrey Griffin,G-F,0.125,0.5,2.948,1.593
Sabrina Ionescu,G,1.5,10.0,6.503,9.96
Marine Johannes,G,5.556,12.889,14.207,17.024
Jonquel Jones,C,8.111,16.0,14.984,15.478
Betnijah Laney-Hamilton,G-F,4.167,9.5,14.792,15.619
Satou Sabally,F,0.5,5.75,9.111,6.462
Breanna Stewart,F,8.889,19.667,17.624,20.833
Julie Vanloo,G,3.6,9.6,14.162,12.812
Han Xu,C,3.389,6.444,15.109,18.604
