Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Sarah Ashlee Barker,G,3.667,8.667,10.534,12.754
Frieda Bühner,F-C,-0.833,1.333,-0.885,-7.211
Bridget Carleton,F,7.5,15.667,19.704,24.598
Emily Engstler,F,3.167,6.667,9.925,10.19
Luisa Geiselsöder,C,5.167,11.0,11.914,11.971
Megan Gustafson,C,3.333,8.667,19.847,22.57
Jordan Harrison,G,-3.0,2.0,-0.242,1.023
Haley Jones,F-G,2.833,7.333,17.207,17.27
Carla Leite,G,6.5,19.0,23.54,25.776
Nyadiew Puoch,F,2.333,7.0,9.356,8.263
Kamiah Smalls,G,1.25,6.0,12.16,15.798
Sug Sutton,G,-2.5,5.0,2.613,4.243
Serah Williams,F,1.75,2.0,9.033,10.851
