Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Monique Akoa Makani,G,4.0,10.0,15.292,14.241
Valeriane Ayayi,F,1.4,4.2,8.338,3.486
DeWanna Bonner,F-G,5.25,10.5,10.197,11.925
Noémie Brochant,F-G,2.5,5.0,7.892,8.358
Sha Carter,F,0.333,1.0,2.682,2.551
Kahleah Copper,G-F,-1.812,8.625,7.897,11.424
Kyara Linskens,C,3.143,5.286,18.248,16.759
Natasha Mack,F-C,11.25,17.5,22.18,23.853
Jovana Nogić,G,2.562,10.375,14.422,14.4
Marta Suárez,F,2.0,4.5,7.949,-1.602
Alyssa Thomas,F,11.062,23.875,20.377,22.506
Kiana Williams,G,0.125,2.75,6.567,7.097
Peyton Williams,F,0.5,1.0,10.983,14.432
