Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Sarah Ashlee Barker,G,5.269,12.0,13.194,15.491
Frieda Bühner,F-C,2.017,5.862,11.235,11.353
Bridget Carleton,F,6.774,14.355,15.181,18.553
Emily Engstler,F,5.781,11.406,14.077,14.852
Luisa Geiselsöder,C,0.976,4.476,5.265,3.105
Megan Gustafson,C,5.933,13.1,17.811,20.978
Jordan Harrison,G,2.417,7.667,14.613,12.774
Carla Leite,G,3.4,14.833,17.761,18.785
Teja Oblak,G,0.562,5.25,9.188,11.517
Nyadiew Puoch,F,0.919,3.806,6.186,5.185
Karlie Samuelson,G,2.225,5.1,10.695,10.014
Kamiah Smalls,G,1.25,6.0,12.16,15.798
Serah Williams,F,2.125,5.036,11.365,10.141
Holly Winterburn,G,0.316,2.737,6.713,7.328
