Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Lexie Brown,G,1.65,4.2,7.401,6.689
Zia Cooke,G,-0.233,4.2,7.654,10.886
Stefanie Dolson,C,3.0,7.133,8.506,5.484
Awa Fam,C,3.167,9.556,9.058,10.555
Natisha Hiedeman,G,4.067,13.2,14.844,18.685
Joyner Holmes,F,2.5,3.0,6.299,9.703
Mackenzie Holmes,F,4.533,7.333,13.854,11.986
Jordan Horston,F,2.867,6.133,7.985,9.252
Flau'jae Johnson,G,3.2,10.133,10.287,11.754
Taina Mair,G,-1.25,-1.0,-14.728,-10.917
Dominique Malonga,C,4.786,12.286,15.521,19.089
Jade Melbourne,G,2.467,9.333,11.843,10.041
Katie Lou Samuelson,G,2.389,4.556,8.48,10.56
Taylor Thierry,G-F,0.833,2.333,11.397,2.757
