Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Julie Allemand,G,4.409,9.545,10.481,10.948
Maria Conde,F,3.125,8.125,8.667,9.446
Temi Fagbenle,C,4.0,8.8,12.527,10.084
Mariella Fasoula,C,0.0,1.333,5.272,-0.998
Isabelle Harrison,F,6.667,13.667,19.065,20.931
Laura Juškaitė,F,3.875,10.562,12.164,9.188
Teonni Key,F,1.406,2.938,7.979,4.902
Marina Mabrey,G,5.094,15.625,17.531,22.763
Nikolina Milic,C,0.286,2.429,5.263,5.73
Kia Nurse,G,0.625,2.875,7.976,6.398
Tima Pouye,G,0.0,2.125,6.428,-0.116
Kiki Rice,G,7.3,15.5,17.623,17.641
Nyara Sabally,F,8.25,15.6,20.639,22.357
Brittney Sykes,G,4.867,16.8,17.654,20.866
