Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Grace Berger,G,0.409,3.273,2.066,0.466
Chloe Bibby,F,2.214,4.643,12.548,14.458
DeWanna Bonner,G-F,4.979,10.375,13.653,15.862
DiJonai Carrington,G-F,2.6,9.12,10.91,12.71
Kaila Charles,G-F,3.038,6.308,12.204,11.835
Alysha Clark,F,2.47,5.515,7.181,5.767
Marquesha Davis,G,-0.227,0.273,1.147,0.331
Aaliyah Edwards,F,2.365,5.654,12.27,13.111
Haley Jones,F-G,2.045,6.773,8.84,9.474
Liatu King,F,1.321,3.143,7.941,6.781
Sika Koné,F,0.792,2.333,6.31,2.993
Diamond Miller,F,0.641,3.25,8.818,6.301
Tiffany Mitchell,G,0.391,2.531,4.963,2.832
Alissa Pili,F,0.667,1.867,6.727,5.678
Jacy Sheldon,G,2.733,7.867,10.197,10.502
Odyssey Sims,G,2.8,9.867,9.735,10.645
NaLyssa Smith,F,4.25,8.763,11.248,10.391
Brittney Sykes,G,2.597,12.355,11.987,13.788
Stephanie Talbot,F,2.533,5.167,8.184,8.143
Sevgi Uzun,G,-0.433,2.8,2.277,1.42
Julie Vanloo,G,0.093,3.185,4.442,4.215
Li Yueru,C,3.855,7.677,12.476,12.51
