Player,Pos,WinScore,Efficiency,NBAPER,WNBAPER
Georgia Amoore,G,-0.35,5.0,4.329,2.263
Shakira Austin,C,8.7,17.4,17.505,20.935
Lauren Betts,C,2.35,6.0,12.77,13.456
Sonia Citron,G,6.833,16.556,17.564,20.102
Angela Dugalić,F,4.45,7.7,14.863,15.481
Alicia Flórez,G,-1.4,3.2,3.096,1.071
Rori Harmon,G,-0.286,1.571,-0.909,-5.947
Kiki Iriafen,F,9.5,17.9,19.4,21.01
Cotie McMahon,G,0.875,5.25,7.069,4.975
Lucy Olsen,G,1.3,3.8,14.28,16.66
Michaela Onyenwere,F,1.917,8.0,10.945,8.916
Cassandre Prosper,G,-1.45,2.0,1.15,-1.984
Ally Wilson,G,-0.25,2.0,3.768,2.183
