"Player","Team","Pos","G","MP","G.1","GS","MP.1","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Lindsay Allen","MIN","G","29","698","29","20","698","65","163",".399","7","34",".206","58","129",".450","42","53",".792","17","71","130","17","3","37","61","179"
"Rebecca Allen","CON","F-G","40","858","40","27","858","98","240",".408","40","115",".348","58","125",".464","19","27",".704","28","113","37","37","50","34","77","255"
"Laeticia Amihere","ATL","F","21","147","21","0","147","17","42",".405","0","1",".000","17","41",".415","22","41",".537","5","20","4","5","9","11","21","56"
"Ariel Atkins","WAS","G","27","679","27","27","679","104","251",".414","42","124",".339","62","127",".488","61","68",".897","18","83","61","32","9","35","71","311"
"Shakira Austin","WAS","C-F","19","440","19","17","440","77","154",".500","0","0","","77","154",".500","36","59",".610","29","133","17","16","17","35","44","190"
"Rachel Banham","MIN","G","32","435","32","1","435","61","165",".370","43","107",".402","18","58",".310","11","14",".786","4","32","54","11","3","36","45","176"
"Kierstan Bell","LVA","F","36","424","36","0","424","53","153",".346","20","82",".244","33","71",".465","6","10",".600","14","56","18","15","5","14","47","132"
"Grace Berger","IND","G","36","524","36","0","524","57","127",".449","16","34",".471","41","93",".441","21","25",".840","7","56","67","17","6","37","38","151"
"Morgan Bertsch","CHI","F","28","398","28","5","398","47","103",".456","16","36",".444","31","67",".463","12","16",".750","12","47","19","10","7","30","50","122"
"Monique Billings","ATL","F","39","653","39","9","653","68","167",".407","0","4",".000","68","163",".417","51","61",".836","53","194","30","16","12","38","76","187"
"DeWanna Bonner","CON","G-F","40","1203","40","40","1203","233","548",".425","75","228",".329","158","320",".494","156","181",".862","35","224","87","42","25","58","64","697"
"Aliyah Boston","IND","F-C","40","1249","40","40","1249","233","403",".578","4","10",".400","229","393",".583","108","145",".745","125","335","89","53","50","75","125","578"
"Kalani Brown","DAL","C","32","524","32","5","524","90","143",".629","0","1",".000","90","142",".634","69","86",".802","55","143","33","7","22","42","65","249"
"Lexie Brown","LAS","G","12","364","12","11","364","54","111",".486","27","65",".415","27","46",".587","14","16",".875","2","25","29","11","3","16","14","149"
"Leigha Brown","CON","G","25","130","25","0","130","8","26",".308","1","10",".100","7","16",".438","4","6",".667","6","21","10","5","2","11","19","21"
"Rae Burrell","LAS","G-F","29","322","29","3","322","36","93",".387","16","41",".390","20","52",".385","17","21",".810","13","36","18","13","3","15","26","105"
"Veronica Burton","DAL","G","40","555","40","13","555","25","85",".294","13","48",".271","12","37",".324","31","34",".912","22","70","88","29","10","17","57","94"
"Maya Caldwell","IND","G","30","304","30","1","304","21","72",".292","4","29",".138","17","43",".395","12","14",".857","9","27","19","9","3","22","27","58"
"Jordin Canada","LAS","G","38","1237","38","38","1237","163","403",".404","41","123",".333","122","280",".436","138","158",".873","9","116","228","86","9","103","89","505"
"Emma Cannon","IND","F","30","314","30","3","314","61","134",".455","13","34",".382","48","100",".480","40","44",".909","24","94","14","4","2","33","42","175"
"Bridget Carleton","MIN","F","38","573","38","4","573","41","119",".345","30","89",".337","11","30",".367","11","15",".733","19","89","34","13","3","16","49","123"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"DiJonai Carrington","CON","G-F","32","550","32","0","550","93","223",".417","23","62",".371","70","161",".435","56","74",".757","27","92","41","20","3","36","68","265"
"Kaila Charles","SEA","G-F","4","41","4","0","41","3","12",".250","0","2",".000","3","10",".300","0","0","","3","5","1","1","0","0","9","6"
"Layshia Clarendon","LAS","G","24","687","24","24","687","96","193",".497","21","46",".457","75","147",".510","54","59",".915","23","73","82","27","0","54","63","267"
"Alysha Clark","LVA","F","39","876","39","1","876","91","205",".444","51","132",".386","40","73",".548","27","33",".818","21","133","42","24","6","28","85","260"
"Natasha Cloud","WAS","G","37","1199","37","37","1199","149","395",".377","45","151",".298","104","244",".426","126","140",".900","8","138","229","39","10","95","95","469"
"Nia Clouden","LAS","G","5","54","5","1","54","3","10",".300","1","3",".333","2","7",".286","1","2",".500","0","2","9","0","0","8","5","8"
"Nia Coffey","ATL","F","31","680","31","31","680","83","192",".432","33","82",".402","50","110",".455","15","24",".625","15","150","48","17","37","44","68","214"
"Napheesa Collier","MIN","F","37","1238","37","37","1238","297","613",".485","34","114",".298","263","499",".527","168","200",".840","70","313","94","61","43","89","89","796"
"Sydney Colson","LVA","G","28","135","28","0","135","12","27",".444","6","16",".375","6","11",".545","5","6",".833","4","12","22","9","1","6","24","35"
"Zia Cooke","LAS","G","39","549","39","4","549","65","225",".289","18","69",".261","47","156",".301","39","48",".813","10","37","31","13","12","29","36","187"
"Kahleah Copper","CHI","G-F","38","1184","38","38","1184","262","585",".448","69","171",".404","193","414",".466","117","152",".770","25","167","77","35","10","94","93","710"
"Lauren Cox","CON","F","1","0","1","0","0","0","0","","0","0","","0","0","","0","0","","0","0","0","0","0","0","0","0"
"Lorela Cubaj","ATL","F-C","3","19","3","0","19","0","1",".000","0","0","","0","1",".000","0","0","","0","7","0","0","1","1","4","0"
"Sophie Cunningham","PHO","G","31","898","31","31","898","111","269",".413","58","172",".337","53","97",".546","70","80",".875","17","88","65","20","11","46","99","350"
"Crystal Dangerfield","DAL","G","35","973","35","32","973","119","280",".425","27","93",".290","92","187",".492","22","27",".815","27","101","108","33","7","41","44","287"
"Elena Delle Donne","WAS","F-G","23","633","23","23","633","142","293",".485","24","61",".393","118","232",".509","75","80",".938","20","125","49","19","20","30","43","383"
"Jasmine Dickey","DAL","G","14","87","14","0","87","13","34",".382","0","1",".000","13","33",".394","3","6",".500","7","11","1","4","1","5","15","29"
"Ivana Dojkić","SEA","G","23","461","23","15","461","48","119",".403","23","55",".418","25","64",".391","31","43",".721","4","40","65","18","4","35","44","150"
"Stefanie Dolson","NYL","C","23","273","23","0","273","35","68",".515","12","26",".462","23","42",".548","11","14",".786","13","45","27","1","6","21","41","93"
"AD Durr","ATL","G","36","392","36","0","392","62","163",".380","19","59",".322","43","104",".413","30","39",".769","3","38","25","10","3","28","28","173"
"Player","Team","Pos","G","MP","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","FT","FTA","FT%","ORB","TRB","AST","STL","BLK","TOV","PF","PTS"
"Emily Engstler","MIN","F","12","93","12","0","93","8","21",".381","2","7",".286","6","14",".429","3","8",".375","11","29","7","5","1","10","8","21"
"Dana Evans","CHI","G","39","837","39","1","837","116","322",".360","42","143",".294","74","179",".413","76","89",".854","7","47","118","27","4","61","45","350"
