Player,Team,Pos,G,MP,G.1,GS,MP.1,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Monique Akoa Makani,PHO,G,28,598,28,28,598,84,190,.442,35,84,.417,49,106,.462,30,32,.938,19,57,74,25,2,40,71,233
Julie Allemand,LAS,G,21,564,21,14,564,40,96,.417,18,63,.286,22,33,.667,11,15,.733,10,87,97,23,0,36,36,109
Lindsay Allen,CON,G,21,267,21,3,267,15,41,.366,2,13,.154,13,28,.464,9,11,.818,0,13,42,6,4,22,22,41
Rebecca Allen,CHI,F-G,31,633,31,15,633,69,189,.365,35,105,.333,34,84,.405,16,25,.640,13,90,47,16,16,33,48,189
Laeticia Amihere,GSV,F,19,265,19,0,265,37,81,.457,1,15,.067,36,66,.545,39,50,.780,24,86,25,11,9,27,31,114
Yvonne Anderson,MIN,G,1,12,1,0,12,0,3,.000,0,1,.000,0,2,.000,0,0,,0,1,2,2,0,0,3,0
Ariel Atkins,CHI,G,24,695,24,24,695,116,266,.436,31,89,.348,85,177,.480,60,70,.857,15,74,85,44,19,59,73,323
Shakira Austin,WAS,C-F,27,625,27,19,625,137,294,.466,0,10,.000,137,284,.482,64,97,.660,50,179,49,35,29,74,66,338
Marième Badiane,MIN,C,3,11,3,0,11,0,3,.000,0,1,.000,0,2,.000,0,0,,1,1,0,2,0,2,6,0
Rachel Banham,CHI,G,31,736,31,20,736,97,241,.402,65,173,.376,32,68,.471,36,39,.923,4,44,78,18,8,45,61,295
Sarah Ashlee Barker,LAS,G,25,380,25,7,380,25,78,.321,16,49,.327,9,29,.310,14,18,.778,7,53,23,10,4,32,39,80
Kierstan Bell,LVA,F,24,257,24,6,257,34,105,.324,18,70,.257,16,35,.457,11,11,1.000,12,38,9,7,9,9,14,97
Monique Billings,GSV,F,21,373,21,8,373,61,123,.496,8,28,.286,53,95,.558,28,44,.636,31,99,9,13,16,17,36,158
Aliyah Boston,IND,F-C,32,960,32,32,960,193,359,.538,5,24,.208,188,335,.561,93,117,.795,72,264,119,31,33,58,107,484
Crystal Bradford,LVA,F,4,24,4,0,24,2,6,.333,0,2,.000,2,4,.500,0,0,,2,5,1,2,0,1,3,4
Cameron Brink,LAS,F,5,75,5,0,75,9,25,.360,5,13,.385,4,12,.333,5,5,1.000,7,17,2,3,12,7,14,28
Jaelyn Brown,CON,G-F,10,131,10,0,131,14,37,.378,8,18,.444,6,19,.316,1,2,.500,4,12,1,5,2,5,17,37
Kalani Brown,PHO,C,25,325,25,1,325,52,85,.612,2,7,.286,50,78,.641,21,27,.778,31,104,16,7,15,21,41,127
Lexie Brown,SEA,G,21,203,21,0,203,14,42,.333,9,33,.273,5,9,.556,7,10,.700,2,15,16,8,0,6,19,44
Paige Bueckers,DAL,G,24,822,24,24,822,165,361,.457,29,87,.333,136,274,.496,87,101,.861,17,97,130,43,14,50,58,446
Kennedy Burke,NYL,G-F,24,524,24,6,524,70,141,.496,38,80,.475,32,61,.525,24,32,.750,14,55,29,26,15,24,31,202
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Rae Burrell,LAS,G-F,14,233,14,0,233,32,69,.464,8,24,.333,24,45,.533,19,28,.679,6,31,11,6,2,11,19,91
Veronica Burton,GSV,G,30,857,30,30,857,90,244,.369,43,117,.368,47,127,.370,102,116,.879,37,126,150,31,14,61,67,325
Maya Caldwell,ATL,G,27,435,27,12,435,48,123,.390,21,67,.313,27,56,.482,8,12,.667,22,67,44,23,6,24,39,125
Jordin Canada,ATL,G,22,637,22,22,637,89,223,.399,21,73,.288,68,150,.453,63,83,.759,6,79,129,36,5,50,36,262
Emma Cannon,LAS,F,20,206,20,0,206,32,62,.516,14,35,.400,18,27,.667,15,23,.652,11,37,7,9,1,15,36,93
Kamilla Cardoso,CHI,C,27,699,27,26,699,138,266,.519,1,2,.500,137,264,.519,57,83,.687,81,226,51,10,25,64,74,334
Bridget Carleton,MIN,F,31,886,31,31,886,77,189,.407,46,124,.371,31,65,.477,14,19,.737,27,118,72,29,9,25,61,214
Tina Charles,CON,C,29,840,29,28,840,166,404,.411,9,32,.281,157,372,.422,129,148,.872,45,170,50,24,13,66,55,470
Kaitlyn Chen,GSV,G,15,199,15,0,199,16,36,.444,5,13,.385,11,23,.478,5,7,.714,3,14,21,5,0,15,14,42
Sonia Citron,WAS,G,30,979,30,30,979,148,319,.464,49,127,.386,99,192,.516,95,110,.864,22,135,69,38,12,56,63,440
Caitlin Clark,IND,G,13,404,13,13,404,72,196,.367,29,104,.279,43,92,.467,41,50,.820,1,65,115,21,7,66,35,214
Natasha Cloud,NYL,G,29,843,29,29,843,102,240,.425,36,105,.343,66,135,.489,47,52,.904,10,104,166,37,9,52,92,287
Nia Coffey,ATL,F,30,333,30,2,333,39,106,.368,17,62,.274,22,44,.500,31,44,.705,19,83,31,9,11,24,36,126
Napheesa Collier,MIN,F,26,854,26,26,854,224,417,.537,35,95,.368,189,322,.587,129,142,.908,51,196,90,46,42,59,64,612
Sydney Colson,IND,G,30,404,30,6,404,26,76,.342,13,47,.277,13,29,.448,6,7,.857,7,25,60,15,6,35,34,71
Zia Cooke,SEA,G,24,250,24,0,250,27,78,.346,13,34,.382,14,44,.318,13,19,.684,6,13,13,9,1,21,26,80
Kahleah Copper,PHO,G-F,14,355,14,14,355,74,166,.446,26,59,.441,48,107,.449,48,57,.842,6,41,22,17,2,37,40,222
Sophie Cunningham,IND,G,27,683,27,10,683,75,156,.481,47,107,.439,28,49,.571,38,44,.864,14,100,27,26,3,32,56,235
Damiris Dantas,IND,C-F,26,315,26,0,315,45,129,.349,16,62,.258,29,67,.433,21,24,.875,21,62,15,5,3,20,44,127
Kariata Diaby,CON,C,13,103,13,0,103,7,14,.500,0,0,,7,14,.500,11,14,.786,3,13,5,6,1,12,19,25
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Skylar Diggins,SEA,G,30,953,30,30,953,163,386,.422,43,114,.377,120,272,.441,113,144,.785,15,83,175,31,24,69,74,482
Stefanie Dolson,WAS,C,30,453,30,11,453,38,98,.388,15,53,.283,23,45,.511,5,8,.625,12,70,40,9,9,25,72,96
Aaliyah Edwards,WAS,F,21,279,21,0,279,45,94,.479,0,7,.000,45,87,.517,35,56,.625,25,69,9,10,6,23,28,125
Emily Engstler,WAS,F,26,291,26,0,291,28,72,.389,9,38,.237,19,34,.559,12,18,.667,28,82,31,13,15,25,30,77
Dana Evans,LVA,G,31,544,31,0,544,69,195,.354,20,68,.294,49,127,.386,35,48,.729,5,31,64,13,3,25,38,193
Temi Fagbenle,GSV,C,25,598,25,24,598,84,165,.509,7,39,.179,77,126,.611,16,25,.640,49,134,46,25,13,38,77,191
Sania Feagin,LAS,F,12,61,12,0,61,7,22,.318,0,4,.000,7,18,.389,0,2,.000,2,8,1,0,6,7,11,14
Leonie Fiebich,NYL,F,23,647,23,23,647,73,140,.521,32,76,.421,41,64,.641,30,35,.857,12,87,35,22,13,34,62,208
Rebekah Gardner,NYL,G,29,363,29,4,363,39,82,.476,13,33,.394,26,49,.531,19,22,.864,21,53,19,17,6,14,46,110
Luisa Geiselsoder,DAL,C,20,464,20,16,464,61,132,.462,20,62,.323,41,70,.586,5,7,.714,21,104,30,15,16,16,43,147
Allisha Gray,ATL,G,30,1057,30,30,1057,178,393,.453,76,184,.413,102,209,.488,136,167,.814,25,163,114,34,12,57,80,568
Chelsea Gray,LVA,G,31,933,31,31,933,114,270,.422,43,123,.350,71,147,.483,72,81,.889,20,124,141,39,21,97,64,343
Brittney Griner,ATL,C,25,583,25,25,583,107,208,.514,4,15,.267,103,193,.534,48,64,.750,21,139,21,2,28,43,54,266
Megan Gustafson,LVA,C,12,167,12,0,167,13,40,.325,9,28,.321,4,12,.333,7,15,.467,7,28,4,2,4,5,30,42
Bree Hall,GSV,G,2,8,2,0,8,1,2,.500,0,1,.000,1,1,1.000,1,3,.333,0,2,0,0,0,2,1,3
Dearica Hamby,LAS,F,30,952,30,30,952,208,366,.568,12,40,.300,196,326,.601,99,166,.596,79,234,100,47,14,81,88,527
Isabelle Harrison,NYL,F,27,296,27,1,296,53,104,.510,2,9,.222,51,95,.537,29,38,.763,22,72,17,17,2,18,37,137
Tyasha Harris,DAL,G,5,82,5,0,82,8,18,.444,5,11,.455,3,7,.429,2,2,1.000,1,5,13,2,2,3,5,23
Bria Hartley,CON,G,29,663,29,23,663,87,241,.361,47,125,.376,40,116,.345,60,74,.811,7,58,89,24,0,51,74,281
Tiffany Hayes,GSV,G,21,559,21,19,559,83,195,.426,34,83,.410,49,112,.438,50,61,.820,13,83,63,10,3,42,45,250
Player,Team,Pos,G,MP,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF,PTS
Lexi Held,PHO,G,22,390,22,0,390,52,137,.380,25,78,.321,27,59,.458,18,22,.818,11,31,27,23,5,21,32,147
Natisha Hiedeman,MIN,G,31,554,31,0,554,92,195,.472,24,79,.304,68,116,.586,29,39,.744,5,56,88,14,6,35,51,237
